StateNames,statecode,Year,schools_established,sc_schools,st_schools,tot_min_schools,SC_res,ST_res,Elec_Yrs_ECI,female_win_prop,SC_curr_share,ST_curr_share,sc_census_share,st_census_share,Population_Density_SqKm,sc_school_prop,st_school_prop,minority_schools_prop,ST_res_inter_ST_curr_share,SC_res_inter_SC_curr_share
Assam,17,1996,862,150,113,263,5.73770491803279,13.1147540983607,1,4.87804878048781,6.989987732615323,17.21530281960933,7.177020862692229,18.12883900942698,258,.1740139211136891,.1310904872389791,.3051044083526682,225.7744632079921,40.10648699041581
Andhra Pradesh,1,1997,1659,324,242,566,13.265306122449,5.10204081632653,0,2.72108843537415,16.7353457741056,7.006688228623414,18.01415490570492,7.980632683709851,223,.1952983725135624,.1458710066305003,.3411693791440627,35.74840932971129,221.999484758544
Bihar,2,1997,652,57,41,93,14.8148148148148,8.641975308641971,0,3.39506172839506,15.54238628667436,3.654377303279069,15.24515394283286,8.202532414294881,633,.0874233128834356,.0628834355828221,.142638036809816,31.58103842339935,230.2575746173978
Delhi,3,1997,86,1,0,1,18.5714285714286,0,0,4.28571428571429,17.13523681252468,0,21.88670616710519,0,5489,.0116279069767442,0,.0116279069767442,0,318.2258265183161
Gujarat,4,1997,615,180,57,237,7.14285714285714,14.2857142857143,0,1.0989010989011,7.071372990295751,16.3819828452102,7.018281176348045,20.92550337408056,196,.2926829268292683,.0926829268292683,.3853658536585366,234.0283263601459,50.50980707354105
Haryana,5,1997,421,51,0,51,18.8888888888889,0,0,5.49450549450549,19.97006849741931,0,21.55933352373425,0,340,.1211401425178147,0,.1211401425178147,0,377.2124049512539
Karnataka,6,1997,1644,348,327,490,14.7321428571429,.892857142857143,0,3.125,16.75747634096274,6.185562759359249,18.16959335536851,5.244695160478249,219,.2116788321167883,.1989051094890511,.2980535279805353,5.522823892285045,246.8735353802553
Kerala,7,1997,146,22,33,46,9.28571428571429,.714285714285714,0,9.15492957746479,10.17318011916256,1.237415399488453,10.98094781341347,1.446263705151277,711,.1506849315068493,.226027397260274,.3150684931506849,.8838681424917515,94.4652439636524
Maharashtra,8,1997,1593,198,299,497,6.25,7.638888888888889,0,3.81944444444444,10.51784363501586,9.94857006448065,11.47212532808509,13.23635592416757,236,.1242937853107345,.1876961707470182,.3119899560577526,75.99602132589386,65.73652271884914
Madhya Pradesh,9,1997,16739,1446,4251,5697,13.75,23.4375,0,3.75,15.03572673644226,23.34601044354406,14.79553269123193,28.81994026513299,144,.086385088714977,.2539578230479718,.3403429117629488,547.1721197705638,206.7412426260811
Odisha,10,1997,378,63,84,139,14.9659863945578,23.1292517006803,0,5.40540540540541,16.58171797599451,22.85819822812039,16.69538828663288,24.32293920751082,189,.1666666666666667,.2222222222222222,.3677248677248677,528.6930202422409,248.1617656271284
